Airmass,Magnitude
2.06734,-8.129
1.12436,-8.941
1.22067,-8.931
1.99211,-10.65
1.11951,-11.359
1.22761,-11.336
1.23045,-11.336
1.96708,-11.018
1.1168,-11.66
1.23623,-11.642
2.06734,-7.817
1.12436,-8.646
1.22067,-8.652
1.99211,-10.409
1.11951,-11.132
1.22761,-11.106
1.23045,-11.128
1.96708,-10.806
1.1168,-11.446
1.23623,-11.452
2.06734,-6.1
1.12436,-6.902
1.22067,-6.844
1.99211,-8.315
1.11951,-9.007
1.22761,-8.971
1.23045,-8.969
1.96708,-8.677
1.1168,-9.305
1.23623,-9.286
2.06734,-7.838
1.12436,-8.694
1.22067,-8.658
1.99211,-8.55
1.11951,-9.257
1.22761,-9.22
1.23045,-9.211
1.96708,-8.237
1.1168,-8.858
1.23623,-8.846
