Color_index,y,,
1.081,21.20204544,B,1633
1.081,21.64582173,B,1633
1.081,22.29083846,B,1633
1.081,22.30908496,B,1633
1.081,22.18550233,B,1633
1.134,21.47104544,C,1633
1.134,21.65382173,C,1633
1.134,22.31083846,C,1633
1.134,22.33208496,C,1633
1.134,22.21750233,C,1633
0.873,21.47704544,A,1633
0.873,21.66782173,A,1633
0.873,22.28983846,A,1633
0.873,22.21750233,A,1633
0.873,22.34108496,A,1633
-0.974,21.40883846,PG,1633
-0.974,20.73182173,PG,1633
-0.974,21.42508496,PG,1633
-0.974,21.30350233,PG,1633
0.535,21.37804544,D,1633
0.535,21.56082173,D,1633
0.298,22.799,A,149
-0.129,22.761,149,149
-0.037,22.748,D,149
0.662,22.845,B,149
0.195,22.767,C,149
0.522,22.83,E,149
1.115,22.869,F,149
0.541,22.784,G,149
