Color_index,y,#,,,,,,,
-0.129,9.51296172179081,149,,,B,,B,,B
-0.04,9.90230741465543,149,,,B,,B,,B
-0.108,9.6760050096592,149,,,B,,B,,B
0.298,9.16296172179081,149A,,,B,,B,,C
0.196,10.1513074146554,149A,,,C,,B,,C
0.391,10.4830050096592,149A,,,C,,C,,C
0.662,11.2589617217908,149B,,,C,,C,,A
0.374,12.7383074146554,149B,,,C,,C,,A
0.728,13.4190050096592,149B,,,A,,C,,A
0.195,9.18596172179081,149C,,,A,,C,,PG
0.093,9.95630741465543,149C,,,A,,A,,PG
0.222,10.1600050096592,149C,,,A,,A,,PG
-0.037,11.9769617217908,149D,,,PG,,A,,D
0.021,12.5043074146554,149D,,,PG,,A,,A
0.29,12.4650050096592,149D,,,PG,,A,,149
0.522,10.1249617217908,149E,,,PG,,PG,,D
0.321,11.4483074146554,149E,,,D,,PG,,B
0.637,12.0240050096592,149E,,,A,,PG,,C
1.115,10.7199617217908,149F,,,149,,PG,,E
0.594,12.8373074146554,149F,,,D,,D,,F
1.132,13.8610050096592,149F,,,B,,A,,G
0.541,10.9769617217908,149G,,,C,,149,,
0.322,12.3383074146554,149G,,,E,,D,,
0.645,12.9300050096592,149G,,,F,,B,,
0.873,8.8250910005,A,,,G,,C,,
0.873,8.8494499321,A,,,,,E,,
0.873,8.8376497101,A,,,,,F,,
0.873,8.7877298173,A,,,,,G,,
0.873,10.5163860961912,A,,,,,,,
0.505,10.605226489,A,,,,,,,
0.505,10.6031667845,A,,,,,,,
0.505,10.6015827975,A,,,,,,,
0.505,10.609920598,A,,,,,,,
1.015,11.521790896331,A,,,,,,,
1.015,11.5084738534,A,,,,,,,
1.015,11.5412609351,A,,,,,,,
1.081,11.1220910005,B,,,,,,,
1.081,11.1144499321,B,,,,,,,
1.081,11.1066497101,B,,,,,,,
1.081,11.1137298173,B,,,,,,,
1.081,13.1483860961912,B,,,,,,,
0.59,13.237226489,B,,,,,,,
0.59,13.2431667845,B,,,,,,,
0.59,13.2465827975,B,,,,,,,
0.59,13.262920598,B,,,,,,,
1.09,14.153790896331,B,,,,,,,
1.09,14.1434738534,B,,,,,,,
1.09,14.1562609351,B,,,,,,,
1.134,10.9060910005,C,,,,,,,
1.134,10.8934499321,C,,,,,,,
1.134,10.9096497101,C,,,,,,,
1.134,10.9117298173,C,,,,,,,
1.134,12.9933860961912,C,,,,,,,
0.618,13.078226489,C,,,,,,,
0.618,13.0861667845,C,,,,,,,
0.618,13.0905827975,C,,,,,,,
0.618,13.121920598,C,,,,,,,
1.138,14.040790896331,C,,,,,,,
1.138,14.0434738534,C,,,,,,,
1.138,14.0612609351,C,,,,,,,
0.535,10.0490910005,D,,,,,,,
0.535,11.3363860961912,D,,,,,,,
0.535,11.970790896331,D,,,,,,,
-0.974,8.8970910005,PG,,,,,,,
-0.974,8.9074499321,PG,,,,,,,
-0.974,8.8946497101,PG,,,,,,,
-0.974,8.9087298173,PG,,,,,,,
-0.093,9.202226489,PG,,,,,,,
-0.093,9.1951667845,PG,,,,,,,
-0.093,9.1945827975,PG,,,,,,,
-0.212,9.206920598,PG,,,,,,,
-0.212,8.79979089633104,PG,,,,,,,
-0.212,8.8044738534,PG,,,,,,,
-0.212,8.7872609351,PG,,,,,,,
